Player,Score,Percent_Positive,Total_Comments,Positive,Neutral,Negative,Rk,AV,Round,Pick,DrftYr,College,From,To,Age,G,GS,AV.1,Pos,Team,-9999
Elijah Moore,52.61512494087219,0.2956521739130435,115,34,54,27,593,7.0,2,34,2021,Ole Miss,2021,2023,21-23,38,22,7.0,WR,CLENYJ,MoorEl00
Boogie Basham,22.153218418359756,0.22807017543859648,57,13,31,13,791,3.0,2,61,2021,Wake Forest,2021,2023,24-26,34,0,3.0,OLB,BUFNYG,BashCa00
Jeremiah Owusu-Koramoah,9.981926381587982,0.18354430379746836,158,29,74,55,549,8.0,2,52,2021,Notre Dame,2021,2023,22-24,36,28,8.0,LB,CLE,OwusJe00
Eric Stokes,16.628337413072586,0.1686746987951807,83,14,45,24,661,6.0,1,29,2021,Georgia,2021,2023,22-24,26,23,6.0,CB,GNB,StokEr00
Christian Barmore,44.13574084639549,0.19791666666666666,96,19,58,19,669,5.0,2,38,2021,Alabama,2021,2023,22-24,38,8,5.0,DL,NWE,BarmCh00
Travis Etienne,42.705244332551956,0.08695652173913043,184,16,122,46,431,11.0,1,25,2021,Clemson,2022,2023,23-24,28,23,11.0,RB,JAX,EtieTr00
Liam Eichenberg,37.30061683058739,0.18181818181818182,88,16,55,17,398,12.0,2,42,2021,Notre Dame,2021,2023,23-25,37,32,12.0,LT,MIA,EichLi00
D'Wayne Eskridge,38.07704582810402,0.0975609756097561,123,12,86,25,893,2.0,2,56,2021,Western Michigan,2021,2023,24-26,24,0,2.0,WR,SEA,EskrDW00
Odafe Oweh,34.00879967212677,0.12173913043478261,115,14,75,26,597,7.0,1,31,2021,Penn State,2021,2023,23-25,40,12,7.0,DE,BAL,OwehJa00
Walker Little,15.303812146186829,0.14864864864864866,74,11,42,21,754,4.0,2,45,2021,Stanford,2021,2023,22-24,35,14,4.0,T,JAX,LittWa00
Joe Tryon-Shoyinka,25.969920843839645,0.11818181818181818,110,13,68,29,418,12.0,1,32,2021,Washington,2021,2023,22-24,45,33,12.0,OLB,TAM,TryoJo00
Trevor Lawrence,14.613731563091278,0.08333333333333333,240,20,142,78,210,21.0,1,1,2021,Clemson,2021,2023,22-24,45,45,21.0,QB,JAX,LawrTr00
Najee Harris,42.736301600933075,0.2459016393442623,122,30,61,31,309,16.0,1,24,2021,Alabama,2021,2023,23-25,45,45,16.0,RB,PIT,HarrNa00
Landon Dickerson,82.45257720351219,0.18787878787878787,165,31,105,29,304,16.0,2,37,2021,Alabama,2021,2023,23-25,42,41,16.0,G,PHI,DickLa00
Mac Jones,33.74020439386368,0.18446601941747573,103,19,58,26,200,22.0,1,15,2021,Alabama,2021,2023,23-25,42,42,22.0,QB,NWE,JoneMa05
Tyson Campbell,37.21024411916733,0.26153846153846155,65,17,38,10,393,12.0,2,33,2021,Georgia,2021,2023,21-23,39,38,12.0,CB,JAX,CampTy01
Rashod Bateman,83.76743048429489,0.3024390243902439,205,62,94,49,569,7.0,1,27,2021,Minnesota,2021,2023,22-24,29,16,7.0,WR,BAL,BateRa00
Patrick Surtain II,-0.23175853490829468,0.06790123456790123,162,11,97,54,219,21.0,1,9,2021,Alabama,2021,2023,21-23,44,43,21.0,CB,DEN,SurtPa01
Kyle Pitts,34.079454362392426,0.22875816993464052,153,35,74,44,415,12.0,1,4,2021,Florida,2021,2023,21-23,38,34,12.0,TE,ATL,PittKy00
Zach Wilson,69.65892398357391,0.11797752808988764,178,21,123,34,523,9.0,1,2,2021,Brigham Young,2021,2023,22-24,32,31,9.0,QB,NYJ,WilsZa00
